"rollback","rand_seed","modi_param","vari","modi_start","recog_time","version","l.x","l.y","f1.x","f1.y","f2.x","f2.y","f3.x","f3.y","1stO.x","1stO.y","3rdO.x","3rdO.y","2ndO.x","2ndO.y","l_g.x","l_g.y","f1_g.x","f1_g.y","f2_g.x","f2_g.y","f3_g.x","f3_g.y","crash","who","with","when","trapped","data_raw_preproc_1$modi_start","new_l.x","new_l.y","new_f1.x","new_f1.y","new_f2.x","new_f2.y","new_f3.x","new_f3.y"
140,1,"r",0.2,185,322,2,-0.100278068,-1.78882053,-0.1210597184797,-1.58668114950943,-0.464826531766441,-2.034247395302,-0.419639903938576,-1.66701809671825,17.01,2.05,0.156,-1.85,-2.05,0.96,0.241684334,-1.761829709,-0.029120446,-1.632737605,-0.005515098,-1.931807475,-0.276319877,-1.802715371,TRUE,"f1","1stO",70,"null","[185]",-0.256278068,0.0611794700000001,-0.089422626,0.172738837,-0.378282274,-0.231223898,-0.496735447,-0.0513648260000001
140,2,"r",0.2,157,291,2,0.33425821,-1.642003518,0.461212414238775,-1.43975022102041,-0.156570608710115,-1.82324727038925,-0.111270824821761,-1.61641324370636,15.15,2.05,0.59,-1.85,-2.05,0.65,0.82509177,-1.646467772,0.566659125,-1.494111058,0.563930663,-1.79409865,0.305498018,-1.641741937,TRUE,"f2","2ndO",213,"null","[157]",-0.25574179,0.207996482,-0.028175323,0.188571554,-0.464529851,-0.139174998,-0.476085931,0.0636045660000002
140,3,"r",0.2,138,275,2,0.540768807,-2.028085267,0.506402723923763,-1.83713844494689,0.127975979185993,-2.24409983306286,0.147472121094425,-2.09190500874642,14.19,2.05,0.814,-1.85,-2.05,0.49,1.124513459,-2.151594535,0.9013827,-1.951063578,0.839283177,-2.244565962,0.616152418,-2.044035006,TRUE,"f2","2ndO",194,"null","[138]",-0.273231193,-0.178085267,0.118130896,0.169877878,-0.483009356,-0.0564466500000003,-0.329250484,0.110567757
140,4,"r",0.2,183,322,2,-0.129586421,-1.861054049,0.0609414604676948,-1.62826679036412,-0.529246281979944,-2.01042195013798,-0.379266116726812,-1.86042796889112,17.01,2.05,0.156,-1.85,-2.05,0.96,0.391461018,-1.576180879,0.091542226,-1.569201033,0.235456899,-1.832428249,-0.064461893,-1.825448403,TRUE,"L","1stO",63,"null","[183]",-0.285586421,-0.011054049,0.107404977,0.238437598,-0.453861076,-0.214804652,-0.310361462,-0.063012751
140,5,"r",0.2,171,307,2,0.117210399,-1.646363952,0.303771817320485,-1.48724023569349,-0.241743097251327,-1.83641522206272,-0.31965819647183,-1.60166094420205,16.11,2.05,0.366,-1.85,-2.05,0.81,0.628349232,-1.694769278,0.383840713,-1.520942974,0.355556977,-1.819606715,0.111048458,-1.64578041,TRUE,"f2","f3",186,"null","[171]",-0.248789601,0.203636048,-0.00832324000000001,0.192145571,-0.547963871,-0.076330228,-0.431179203,0.102516599
140,7,"r",0.2,152,288,2,0.350331693,-1.786226291,0.350427465811303,-1.59154551645032,-0.0173725531190019,-1.99249666247255,0.0922088528955863,-1.80027399302282,14.97,2.05,0.632,-1.85,-2.05,0.62,0.905746175,-1.623798599,0.614279891,-1.552753503,0.698486175,-1.840693257,0.407019892,-1.769648161,TRUE,"L","2ndO",195,"null","[152]",-0.281668307,0.0637737090000001,0.003110061,0.203567191,-0.446907653,-0.210172275,-0.410007686,-0.0109748000000001
140,8,"r",0.2,140,276,2,0.503733976,-1.638541834,0.604565868122318,-1.40743754707303,0.131549831500388,-1.74303053136665,-0.00635786069738364,-1.62283183825018,14.25,2.05,0.8,-1.85,-2.05,0.5,1.078329425,-1.52650371,0.794616893,-1.42899884,0.852031465,-1.723453535,0.568318934,-1.625948665,TRUE,"f2","f3",176,"null","[140]",-0.296266024,0.211458166,0.0637137529999999,0.206562437,-0.385772384,-0.143338388,-0.455675988,-0.058946538
140,9,"r",0.2,155,290,2,0.348041148,-1.73544992,0.390713830410087,-1.47576622401559,-0.0682193125466861,-1.86778675789848,-0.0673526036229747,-1.74590805636577,15.09,2.05,0.604,-1.85,-2.05,0.64,1.008792029,-1.647328124,0.731435222,-1.532990022,0.771093924,-1.830357113,0.493737117,-1.716019011,TRUE,"L","2ndO",198,"null","[155]",-0.255958852,0.11455008,0.217870438,0.182076023,-0.431520514,-0.1540052,-0.322952491,0.0341164869999999
140,10,"r",0.2,153,289,2,0.34084562,-1.964007796,0.371980783384428,-1.7098829197547,-0.103832772682968,-2.24175444013755,-0.200889976484507,-1.9723322896265,15.03,2.05,0.618,-1.85,-2.05,0.63,0.821137487,-2.06366827,0.597224458,-1.864011176,0.536272857,-2.157754094,0.312359828,-1.958097,TRUE,"f2","f3",156,"null","[153]",-0.27715438,-0.114007796,0.026365936,0.189607227,-0.470799737,-0.0780180259999999,-0.440290608,0.126723296
140,14,"r",0.2,172,311,2,0.031353407,-1.654320506,0.13423624493176,-1.4629069933213,-0.393434782026058,-1.80603361867909,-0.335970269566214,-1.62430769940121,16.35,2.05,0.31,-1.85,-2.05,0.85,0.560888413,-1.600409289,0.28722411,-1.477495298,0.317609623,-1.775952532,0.04394532,-1.653038541,TRUE,"f1","2ndO",217,"null","[172]",-0.278646593,0.195679494,-0.058032944,0.183982358,-0.457749623,-0.20999058,-0.481636746,-0.00493233300000018
